Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Crossmint,https://www.crunchbase.com/organization/crossmint,"Sep 25, 2025","$23,600,000",Not Started,"Blockchain, Developer Tools, Financial Services, FinTech","New York, New York, United States","Crossmint is an all-in-one platform for enterprise-grade APIs for wallets, stablecoins, and agentic commerce","1,385",https://crossmint.com/,$1M to $10M,"Lightspeed Venture Partners, Pear VC, Ribbit Capital, Nyca Partners, Circle",Ribbit Capital,https://x.com/crossmint,https://www.linkedin.com/company/77634351/,51-100,—,2022
Inspiren,https://www.crunchbase.com/organization/inspiren,"Sep 25, 2025","$142,754,627",Not Started,"Analytics, Artificial Intelligence (AI), Assisted Living, Health Care, Machine Learning","Brooklyn, New York, United States","Inspiren uses AI to help senior living providers to monitor patient care, track interactions, and improve clinical workflow management.","1,598",https://inspiren.com/,$1M to $10M,"Insight Partners, Primary Venture Partners, Scale Venture Partners, Story Ventures, Avenir","Avenir, Insight Partners, Third Prime",https://x.com/inspirenhealth,https://www.linkedin.com/company/inspirenhealth,101-250,"$100,000,000",2016
Factory,https://www.crunchbase.com/organization/factory-19d8,"Sep 25, 2025","$70,000,000",Not Started,"Artificial Intelligence (AI), Developer Tools, Software Engineering","San Francisco, California, United States",Factory provides AI software agents automating complex development tasks and workflows.,"1,863",https://www.factory.ai/,—,"Sequoia Capital, NVIDIA, BoxGroup, Lux Capital, SV Angel","Lux Capital, New Enterprise Associates, Sequoia Capital",https://x.com/FactoryAI,https://www.linkedin.com/company/factory-hq,11-50,"$50,000,000",Apr 2023
Wellgistics Health,https://www.crunchbase.com/organization/wellgistics-health,"Sep 25, 2025","$56,300,000",Not Started,"Advice, Consulting, Health Care, Logistics, Pharmaceutical, Wholesale","Tampa, Florida, United States",Wellgistics Health is a logistic company that focuses on streamlining healthcare technology and pharmaceutical from manufacturer to patient.,"2,064",https://wellgisticshealth.com/,$10M to $50M,—,—,https://x.com/wellgistics,https://www.linkedin.com/company/wellgistics,51-100,"$5,000,000",2022
Thyme Care,https://www.crunchbase.com/organization/thyme-care,"Sep 25, 2025","$274,000,000",Not Started,"Health Care, Medical, Oncology","Nashville, Tennessee, United States",Thyme Care is a healthcare company that provides oncology care management services.,"2,479",https://www.thymecare.com/,$1M to $10M,"Andreessen Horowitz, Bessemer Venture Partners, Town Hall Ventures, Foresite Capital, Frist Cressey Ventures","AlleyCorp, Andreessen Horowitz, Banc of California, Concord Health Partners, CVS Health Ventures, Echo Health Ventures, Foresite Capital, Frist Cressey Ventures, Town Hall Ventures",https://x.com/thymecares,https://www.linkedin.com/company/thymecare,101-250,"$97,000,000",2020
Valence,https://www.crunchbase.com/organization/valence-5e27,"Sep 25, 2025","$75,092,546",Not Started,"Artificial Intelligence (AI), Generative AI, Information Technology, SaaS","New York, New York, United States",Valence provides an AI coach for employee development and organizational performance.,"2,680",https://www.valence.co/,$1M to $10M,"Insight Partners, Bessemer Venture Partners, Everywhere Ventures, M3 Lending","Bessemer Venture Partners, Insight Partners, M3 Lending",,https://www.linkedin.com/company/valenceteams,51-100,"$50,000,000",2017
EdSights,https://www.crunchbase.com/organization/edsights,"Sep 25, 2025","$88,070,000",Not Started,"Artificial Intelligence (AI), EdTech","New York, New York, United States",EdSights helps universities engage and retain their students.,"4,916",https://www.edsights.io/,$1M to $10M,"Techstars, Everywhere Ventures, Album VC, JMI Equity, Lakehouse Ventures","Album VC, JMI Equity, Lakehouse Ventures, Techstars",https://x.com/EdSights_,https://www.linkedin.com/company/edsights,11-50,"$80,000,000",2017
Fender,https://www.crunchbase.com/organization/fender,"Sep 25, 2025","$40,000,000",Not Started,"Electronics, Manufacturing, Music, Musical Instruments, Music Streaming","Scottsdale, Arizona, United States","Fender Musical Instruments Corporation (FMIC) manufactures guitars, basses, amplifiers, and other related equipment.","5,177",https://www.fender.com/,$1M to $10M,"JP Morgan, Evolution Media, Tiger Finance",—,https://x.com/Fender,http://www.linkedin.com/company/fender-musical-instruments,1001-5000,"$40,000,000",1946
Edward Jones,https://www.crunchbase.com/organization/edward-jones,"Sep 25, 2025","$445,943,909",Not Started,"Advice, Consulting, Finance, Financial Services, Insurance, Wealth Management","St Louis, Missouri, United States","Edward Jones provides personalized investment advisory, brokerage, and management services.","5,662",https://www.edwardjones.com/,$10B+,—,—,https://x.com/edwardjones,https://www.linkedin.com/company/edward-jones,10001+,"$52,122,332",1922
Light,https://www.crunchbase.com/organization/light-e65e,"Sep 25, 2025","$43,000,000",Not Started,"Accounting, Database, Financial Services","Copenhagen, Hovedstaden, Denmark",Light is a financial platform that offers fully automated general ledger and other accounting solution services for multinational companies.,"5,789",https://light.inc/,—,"Cherry Ventures, Atomico, Seedcamp, Balderton Capital, Entrée Capital","Atomico, Balderton Capital",,https://www.linkedin.com/company/uselightinc,11-50,"$30,000,000",2023
